frontier,target_return_monthly,expected_return_monthly,expected_vol_monthly,expected_return_annual,expected_vol_annual
Sample Frontier,0.009581884518828451,0.009590925953065632,0.052349737021880505,0.11509111143678757,0.18134480856953294
Sample Frontier,0.009774437133891213,0.009774437133891213,0.052920963690975764,0.11729324560669455,0.1833235957965556
Sample Frontier,0.009966989748953974,0.009966989748953973,0.05357325817063472,0.11960387698744768,0.18558321015708762
Sample Frontier,0.010159542364016736,0.010160575544443539,0.054278729576208246,0.12192690653332247,0.18802703479256838
Sample Frontier,0.010352094979079497,0.010352094979079497,0.0550184567463768,0.12422513974895397,0.19058952487751055
Sample Frontier,0.010544647594142259,0.010544647594142257,0.05580973872708905,0.1265357711297071,0.19333060606492528
Sample Frontier,0.01073720020920502,0.01073720020920502,0.056663564531427735,0.12884640251046026,0.1962883454127812
Sample Frontier,0.010929752824267783,0.010929752824267783,0.05758554498795962,0.13115703389121341,0.19948217940137875
Sample Frontier,0.011122305439330545,0.011122305439330543,0.05857246174820622,0.13346766527196652,0.2029009593445555
Sample Frontier,0.011314858054393306,0.011314858054393306,0.059621090198532546,0.13577829665271968,0.20653351485301033
Sample Frontier,0.011507410669456068,0.011507410669456068,0.060728233592043004,0.1380889280334728,0.21036877207065902
Sample Frontier,0.01169996328451883,0.01169996328451883,0.06189075174442172,0.14039955941422594,0.21439585307994108
Sample Frontier,0.01189251589958159,0.011892515899581593,0.06310558442246815,0.1427101907949791,0.21860415692208382
Sample Frontier,0.012085068514644352,0.012085068514644352,0.06436976974205036,0.14502082217573223,0.222983423329482
Sample Frontier,0.012277621129707114,0.012277621129707112,0.06568045801849759,0.14733145355648536,0.22752378070486498
Sample Frontier,0.012470173744769875,0.012470173744769875,0.0670349215851438,0.14964208493723852,0.23221578013372937
Sample Frontier,0.012662726359832637,0.012662726359832637,0.06843056112487204,0.15195271631799165,0.23705041731745208
Sample Frontier,0.012855278974895398,0.012855278974895398,0.0698649090555125,0.15426334769874478,0.24201914430065316
Sample Frontier,0.013047831589958162,0.013047831589958162,0.07133563048250804,0.15657397907949794,0.24711387277132615
Sample Frontier,0.013240384205020921,0.013240384205020923,0.07284052218971622,0.15888461046025107,0.2523269705648734
Sample Frontier,0.013432936820083684,0.013432936820083683,0.07437751008830469,0.1611952418410042,0.2576512528268209
Sample Frontier,0.013625489435146444,0.013625489435146444,0.07594464548954656,0.16350587322175733,0.2630799691014024
Sample Frontier,0.013818042050209207,0.013818042050209207,0.0775401005136159,0.1658165046025105,0.26860678742716065
Sample Frontier,0.014010594665271969,0.014010594665271969,0.07916216289567966,0.16812713598326362,0.27422577634472195
Sample Frontier,0.01420314728033473,0.014203141122966114,0.0808091869448839,0.17043769347559337,0.27993123501374106
Improved Frontier,0.009581884518828451,0.010416583696482191,0.05600475050147434,0.1249990043577863,0.19400614666754423
Improved Frontier,0.009774437133891213,0.010416583696482191,0.05600475050147434,0.1249990043577863,0.19400614666754423
Improved Frontier,0.009966989748953974,0.010416583696482191,0.05600475050147434,0.1249990043577863,0.19400614666754423
Improved Frontier,0.010159542364016736,0.010416583696482191,0.05600475050147434,0.1249990043577863,0.19400614666754423
Improved Frontier,0.010352094979079497,0.010416583696482191,0.05600475050147434,0.1249990043577863,0.19400614666754423
Improved Frontier,0.010544647594142259,0.010544647594142257,0.05650632110862203,0.1265357711297071,0.19574363821787016
Improved Frontier,0.01073720020920502,0.010737200209205017,0.05735155326285859,0.1288464025104602,0.1986716082885274
Improved Frontier,0.010929752824267783,0.010929752824267783,0.058240724976694594,0.13115703389121341,0.2017517894585615
Improved Frontier,0.011122305439330545,0.011122305439330545,0.05917009661180549,0.13346766527196655,0.20497122724081235
Improved Frontier,0.011314858054393306,0.011314858054393305,0.060137697620156215,0.13577829665271965,0.20832309545664904
Improved Frontier,0.011507410669456068,0.011507410669456066,0.06114171302654039,0.13808892803347278,0.21180110684752765
Improved Frontier,0.01169996328451883,0.011699963284518828,0.06218037892574974,0.14039955941422594,0.21539915106656726
Improved Frontier,0.01189251589958159,0.011892515899581589,0.06325198834537424,0.14271019079497907,0.2191113149878853
Improved Frontier,0.012085068514644352,0.012085068514644352,0.06446777251892212,0.14502082217573223,0.22332291490713146
Improved Frontier,0.012277621129707114,0.012277621129707112,0.06593343823151597,0.14733145355648536,0.22840012986937983
Improved Frontier,0.012470173744769875,0.012470173744769875,0.06747216781585588,0.14964208493723852,0.23373044550775196
Improved Frontier,0.012662726359832637,0.012662726359832635,0.06909428773689671,0.15195271631799162,0.23934963374617665
Improved Frontier,0.012855278974895398,0.012855278974895398,0.07082395719321256,0.15426334769874478,0.24534138450345483
